"s1"	"p1"	"o1"	"s2"	"p2"	"o2"
"http://it.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/family"	"http://it.dbpedia.org/resource/Muridae"	"http://pt.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/family"	"http://pt.dbpedia.org/resource/Muridae"
"http://it.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/family"	"http://it.dbpedia.org/resource/Deomyinae"	"http://pt.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/family"	"http://pt.dbpedia.org/resource/Deomyinae"
"http://it.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/genus"	"http://it.dbpedia.org/resource/Acomys"	"http://pt.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/genus"	"http://pt.dbpedia.org/resource/Acomys"
"http://it.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/binomialAuthority"	"http://it.dbpedia.org/resource/Oldfield_Thomas"	"http://pt.dbpedia.org/resource/Acomys_louisae"	"http://dbpedia.org/ontology/binomialAuthority"	"http://pt.dbpedia.org/resource/Oldfield_Thomas"
"http://it.dbpedia.org/resource/Estry"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Calvados"	"http://pt.dbpedia.org/resource/Estry"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Calvados"
"http://it.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Judas_Priest"	"http://pt.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/artist"	"http://pt.dbpedia.org/resource/Judas_Priest"
"http://it.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/previousWork"	"http://it.dbpedia.org/resource/British_Steel"	"http://pt.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/previousWork"	"http://pt.dbpedia.org/resource/British_Steel"
"http://it.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/subsequentWork"	"http://it.dbpedia.org/resource/Point_of_Entry"	"http://pt.dbpedia.org/resource/Hero,_Hero"	"http://dbpedia.org/ontology/subsequentWork"	"http://pt.dbpedia.org/resource/Point_of_Entry"
"http://it.dbpedia.org/resource/Sabran"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Gard"	"http://pt.dbpedia.org/resource/Sabran_(Gard)"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Gard"
"http://it.dbpedia.org/resource/Petite-Chaux"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Doubs_(dipartimento)"	"http://pt.dbpedia.org/resource/Petite-Chaux"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Doubs_(departamento)"
"http://it.dbpedia.org/resource/Hanvec"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Bretagna"	"http://pt.dbpedia.org/resource/Hanvec"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Bretanha"
"http://it.dbpedia.org/resource/Mamadou_Samassa"	"http://dbpedia.org/ontology/stateOfOrigin"	"http://it.dbpedia.org/resource/France"	"http://pt.dbpedia.org/resource/Mamadou_Samassa"	"http://dbpedia.org/ontology/birthPlace"	"http://pt.dbpedia.org/resource/France"
"http://it.dbpedia.org/resource/Roxy_-_Il_ritorno_di_una_stella"	"http://dbpedia.org/ontology/originalLanguage"	"http://it.dbpedia.org/resource/Lingua_inglese"	"http://pt.dbpedia.org/resource/Welcome_Home,_Roxy_Carmichael"	"http://dbpedia.org/ontology/language"	"http://pt.dbpedia.org/resource/Língua_inglesa"
"http://it.dbpedia.org/resource/Roxy_-_Il_ritorno_di_una_stella"	"http://dbpedia.org/ontology/director"	"http://it.dbpedia.org/resource/Jim_Abrahams"	"http://pt.dbpedia.org/resource/Welcome_Home,_Roxy_Carmichael"	"http://dbpedia.org/ontology/director"	"http://pt.dbpedia.org/resource/Jim_Abrahams"
"http://it.dbpedia.org/resource/São_Miguel_da_Boa_Vista"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Santa_Catarina"	"http://pt.dbpedia.org/resource/São_Miguel_da_Boa_Vista"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Santa_Catarina"
"http://it.dbpedia.org/resource/São_Miguel_da_Boa_Vista"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Oeste_Catarinense"	"http://pt.dbpedia.org/resource/São_Miguel_da_Boa_Vista"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Mesorregião_do_Oeste_Catarinense"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/musicComposer"	"http://it.dbpedia.org/resource/John_Debney"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/musicComposer"	"http://pt.dbpedia.org/resource/John_Debney"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/originalLanguage"	"http://it.dbpedia.org/resource/Lingua_inglese"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/language"	"http://pt.dbpedia.org/resource/Língua_inglesa"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Bette_Midler"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Bette_Midler"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/productionCompany"	"http://it.dbpedia.org/resource/Walt_Disney_Pictures"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/productionCompany"	"http://pt.dbpedia.org/resource/Walt_Disney_Pictures"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/writer"	"http://it.dbpedia.org/resource/Mick_Garris"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/writer"	"http://pt.dbpedia.org/resource/Mick_Garris"
"http://it.dbpedia.org/resource/Hocus_Pocus_(film)"	"http://dbpedia.org/ontology/director"	"http://it.dbpedia.org/resource/Kenny_Ortega"	"http://pt.dbpedia.org/resource/Hocus_Pocus_(filme)"	"http://dbpedia.org/ontology/director"	"http://pt.dbpedia.org/resource/Kenny_Ortega"
"http://it.dbpedia.org/resource/Charlot_ladro"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Edna_Purviance"	"http://pt.dbpedia.org/resource/Police_(1916)"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Edna_Purviance"
"http://it.dbpedia.org/resource/Charlot_ladro"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Wesley_Ruggles"	"http://pt.dbpedia.org/resource/Police_(1916)"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Wesley_Ruggles"
"http://it.dbpedia.org/resource/Verbandsgemeinde_Landau-Land"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Renania-Palatinato"	"http://pt.dbpedia.org/resource/Verbandsgemeinde_Landau-Land"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Renânia-Palatinado"
"http://it.dbpedia.org/resource/Ekaterina_Romanovna_Voroncova"	"http://dbpedia.org/ontology/deathPlace"	"http://it.dbpedia.org/resource/Mosca_(Russia)"	"http://pt.dbpedia.org/resource/Catarina_Vorontsova-Dashkova"	"http://dbpedia.org/ontology/deathPlace"	"http://pt.dbpedia.org/resource/Moscovo"
"http://it.dbpedia.org/resource/Preixana"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Catalogna"	"http://pt.dbpedia.org/resource/Preixana"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Catalunha"
"http://it.dbpedia.org/resource/Chevagny-sur-Guye"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Borgogna"	"http://pt.dbpedia.org/resource/Chevagny-sur-Guye"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Borgonha"
"http://it.dbpedia.org/resource/Chevagny-sur-Guye"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Saona_e_Loira"	"http://pt.dbpedia.org/resource/Chevagny-sur-Guye"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Saône-et-Loire"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Nine_Inch_Nails"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/musicalArtist"	"http://pt.dbpedia.org/resource/Nine_Inch_Nails"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Nine_Inch_Nails"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/musicalBand"	"http://pt.dbpedia.org/resource/Nine_Inch_Nails"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/producer"	"http://it.dbpedia.org/resource/Alan_Moulder"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/producer"	"http://pt.dbpedia.org/resource/Alan_Moulder"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/Nothing_Records"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/Nothing_Records"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/Interscope_Records"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/Interscope_Records"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/previousWork"	"http://it.dbpedia.org/resource/Only_(Nine_Inch_Nails)"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/previousWork"	"http://pt.dbpedia.org/resource/Only_(canção_de_Nine_Inch_Nails)"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/producer"	"http://it.dbpedia.org/resource/Trent_Reznor"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/producer"	"http://pt.dbpedia.org/resource/Trent_Reznor"
"http://it.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/album"	"http://it.dbpedia.org/resource/With_Teeth"	"http://pt.dbpedia.org/resource/Every_Day_Is_Exactly_the_Same"	"http://dbpedia.org/ontology/album"	"http://pt.dbpedia.org/resource/With_Teeth"
"http://it.dbpedia.org/resource/Landroff"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Lorena_(regione_francese)"	"http://pt.dbpedia.org/resource/Landroff"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Lorena_(França)"
"http://it.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/kingdom"	"http://it.dbpedia.org/resource/Animalia"	"http://pt.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/kingdom"	"http://pt.dbpedia.org/resource/Animalia"
"http://it.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/order"	"http://it.dbpedia.org/resource/Diprotodontia"	"http://pt.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/order"	"http://pt.dbpedia.org/resource/Diprotodontia"
"http://it.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/family"	"http://it.dbpedia.org/resource/Macropodidae"	"http://pt.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/family"	"http://pt.dbpedia.org/resource/Macropodidae"
"http://it.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/genus"	"http://it.dbpedia.org/resource/Dorcopsulus"	"http://pt.dbpedia.org/resource/Dorcopsulus_macleayi"	"http://dbpedia.org/ontology/genus"	"http://pt.dbpedia.org/resource/Dorcopsulus"
"http://it.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/domain"	"http://it.dbpedia.org/resource/Eukaryota"	"http://pt.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/domain"	"http://pt.dbpedia.org/resource/Eukaryota"
"http://it.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/kingdom"	"http://it.dbpedia.org/resource/Plantae"	"http://pt.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/kingdom"	"http://pt.dbpedia.org/resource/Plantae"
"http://it.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/order"	"http://it.dbpedia.org/resource/Rosales"	"http://pt.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/order"	"http://pt.dbpedia.org/resource/Rosales"
"http://it.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/genus"	"http://it.dbpedia.org/resource/Artocarpus"	"http://pt.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/genus"	"http://pt.dbpedia.org/resource/Artocarpus"
"http://it.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/family"	"http://it.dbpedia.org/resource/Moraceae"	"http://pt.dbpedia.org/resource/Artocarpus_heterophyllus"	"http://dbpedia.org/ontology/family"	"http://pt.dbpedia.org/resource/Moraceae"
"http://it.dbpedia.org/resource/Lykke_Li"	"http://dbpedia.org/ontology/birthPlace"	"http://it.dbpedia.org/resource/Ystad"	"http://pt.dbpedia.org/resource/Lykke_Li"	"http://dbpedia.org/ontology/hometown"	"http://pt.dbpedia.org/resource/Ystad"
"http://it.dbpedia.org/resource/Lykke_Li"	"http://dbpedia.org/ontology/genre"	"http://it.dbpedia.org/resource/Indie_rock"	"http://pt.dbpedia.org/resource/Lykke_Li"	"http://dbpedia.org/ontology/genre"	"http://pt.dbpedia.org/resource/Indie_rock"
"http://it.dbpedia.org/resource/Contea_di_Pike_(Arkansas)"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Arkansas"	"http://pt.dbpedia.org/resource/Condado_de_Pike_(Arkansas)"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Arkansas"
"http://it.dbpedia.org/resource/Promised_Land_(album_Elvis_Presley)"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Elvis_Presley"	"http://pt.dbpedia.org/resource/Promised_Land_(álbum)"	"http://dbpedia.org/ontology/artist"	"http://pt.dbpedia.org/resource/Elvis_Presley"
"http://it.dbpedia.org/resource/Promised_Land_(album_Elvis_Presley)"	"http://dbpedia.org/ontology/previousWork"	"http://it.dbpedia.org/resource/Elvis:_As_Recorded_Live_on_Stage_in_Memphis"	"http://pt.dbpedia.org/resource/Promised_Land_(álbum)"	"http://dbpedia.org/ontology/previousWork"	"http://pt.dbpedia.org/resource/Elvis_as_Recorded_Live_on_Stage_in_Memphis"
"http://it.dbpedia.org/resource/Promised_Land_(album_Elvis_Presley)"	"http://dbpedia.org/ontology/subsequentWork"	"http://it.dbpedia.org/resource/Today_(Elvis_Presley)"	"http://pt.dbpedia.org/resource/Promised_Land_(álbum)"	"http://dbpedia.org/ontology/subsequentWork"	"http://pt.dbpedia.org/resource/Today_(álbum)"
"http://it.dbpedia.org/resource/Gălăuțaș"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Transilvania"	"http://pt.dbpedia.org/resource/Gălăuţaş"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Transilvânia"
"http://it.dbpedia.org/resource/Seynes"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Gard"	"http://pt.dbpedia.org/resource/Seynes"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Gard"
"http://it.dbpedia.org/resource/Hillsboro_Ranches"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Florida"	"http://pt.dbpedia.org/resource/Hillsboro_Ranches"	"http://dbpedia.org/ontology/state"	"http://pt.dbpedia.org/resource/Flórida"
"http://it.dbpedia.org/resource/Le_Châtelet"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Cher_(dipartimento)"	"http://pt.dbpedia.org/resource/Le_Châtelet"	"http://dbpedia.org/ontology/department"	"http://pt.dbpedia.org/resource/Cher_(departamento)"
"http://it.dbpedia.org/resource/Percival_Lowell"	"http://dbpedia.org/ontology/birthPlace"	"http://it.dbpedia.org/resource/Boston"	"http://pt.dbpedia.org/resource/Percival_Lowell"	"http://dbpedia.org/ontology/deathPlace"	"http://pt.dbpedia.org/resource/Boston"
"http://it.dbpedia.org/resource/Piccoli_omicidi_tra_amici"	"http://dbpedia.org/ontology/director"	"http://it.dbpedia.org/resource/Danny_Boyle"	"http://pt.dbpedia.org/resource/Shallow_Grave"	"http://dbpedia.org/ontology/director"	"http://pt.dbpedia.org/resource/Danny_Boyle"
"http://it.dbpedia.org/resource/Piccoli_omicidi_tra_amici"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Ewan_McGregor"	"http://pt.dbpedia.org/resource/Shallow_Grave"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Ewan_McGregor"
"http://it.dbpedia.org/resource/Piccoli_omicidi_tra_amici"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Christopher_Eccleston"	"http://pt.dbpedia.org/resource/Shallow_Grave"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Christopher_Eccleston"
"http://it.dbpedia.org/resource/Piccoli_omicidi_tra_amici"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Kerry_Fox"	"http://pt.dbpedia.org/resource/Shallow_Grave"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Kerry_Fox"
"http://it.dbpedia.org/resource/Pencran"	"http://dbpedia.org/ontology/administrativeDistrict"	"http://it.dbpedia.org/resource/Bretagna"	"http://pt.dbpedia.org/resource/Pencran"	"http://dbpedia.org/ontology/region"	"http://pt.dbpedia.org/resource/Bretanha"
"http://it.dbpedia.org/resource/Más_(Alejandro_Sanz)"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/Warner_Music_Group"	"http://pt.dbpedia.org/resource/Más_(álbum)"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/Warner_Music_Group"
"http://it.dbpedia.org/resource/Más_(Alejandro_Sanz)"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Alejandro_Sanz"	"http://pt.dbpedia.org/resource/Más_(álbum)"	"http://dbpedia.org/ontology/artist"	"http://pt.dbpedia.org/resource/Alejandro_Sanz"
"http://it.dbpedia.org/resource/Crazy_Love_(album_Hawk_Nelson)"	"http://dbpedia.org/ontology/previousWork"	"http://it.dbpedia.org/resource/Live_Life_Loud"	"http://pt.dbpedia.org/resource/Crazy_Love_(álbum_de_Hawk_Nelson)"	"http://dbpedia.org/ontology/previousWork"	"http://pt.dbpedia.org/resource/Live_Life_Loud"
"http://it.dbpedia.org/resource/Crazy_Love_(album_Hawk_Nelson)"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Hawk_Nelson"	"http://pt.dbpedia.org/resource/Crazy_Love_(álbum_de_Hawk_Nelson)"	"http://dbpedia.org/ontology/artist"	"http://pt.dbpedia.org/resource/Hawk_Nelson"
"http://it.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Queen"	"http://pt.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/musicalArtist"	"http://pt.dbpedia.org/resource/Queen"
"http://it.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Queen"	"http://pt.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/musicalBand"	"http://pt.dbpedia.org/resource/Queen"
"http://it.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Queen"	"http://pt.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/producer"	"http://pt.dbpedia.org/resource/Queen"
"http://it.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/EMI"	"http://pt.dbpedia.org/resource/I'm_in_Love_with_My_Car"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/EMI"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordedIn"	"http://it.dbpedia.org/resource/2010"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordedIn"	"http://pt.dbpedia.org/resource/2010"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/artist"	"http://it.dbpedia.org/resource/Bruno_Mars"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/artist"	"http://pt.dbpedia.org/resource/Bruno_Mars"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordedIn"	"http://it.dbpedia.org/resource/Los_Angeles"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordedIn"	"http://pt.dbpedia.org/resource/Los_Angeles"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/genre"	"http://it.dbpedia.org/resource/Musica_pop"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/genre"	"http://pt.dbpedia.org/resource/Música_pop"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/Atlantic_Records"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/Atlantic_Records"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordLabel"	"http://it.dbpedia.org/resource/Elektra_Records"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/recordLabel"	"http://pt.dbpedia.org/resource/Elektra_Records"
"http://it.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/subsequentWork"	"http://it.dbpedia.org/resource/Unorthodox_Jukebox"	"http://pt.dbpedia.org/resource/Doo-Wops_&_Hooligans"	"http://dbpedia.org/ontology/subsequentWork"	"http://pt.dbpedia.org/resource/Unorthodox_Jukebox"
"http://it.dbpedia.org/resource/I_guardiani_del_destino"	"http://dbpedia.org/ontology/originalLanguage"	"http://it.dbpedia.org/resource/Lingua_inglese"	"http://pt.dbpedia.org/resource/Os_Agentes_do_Destino"	"http://dbpedia.org/ontology/language"	"http://pt.dbpedia.org/resource/Língua_inglesa"
"http://it.dbpedia.org/resource/I_guardiani_del_destino"	"http://dbpedia.org/ontology/starring"	"http://it.dbpedia.org/resource/Anthony_Mackie"	"http://pt.dbpedia.org/resource/Os_Agentes_do_Destino"	"http://dbpedia.org/ontology/starring"	"http://pt.dbpedia.org/resource/Anthony_Mackie"
